"","Product.Group.ID","Product.Group.Name.x","Business.Unit","MIN.Start.Month.Group","MIN.Effective.Start.Date","MAX.End.Month.Group","MAX.Effective.End.Date","Billed.Account.ID","Billed.Account.Name","Account.Name","Finance.Tier","Customer.Support.Tier","Based.Country","Geography..G.","Division..D.","Region..R.","Area..A.","Territory..T.","Product.Group.tier.2","Product.Group.tier.3","Product.Group.tier.4","Hyp...Business.Unit","Total.Past.12.Months.Dollar","Estm.Historical.Monthly.Rev","Contract.Months.Remaining","Contract.Remaining.Value..Q3.2014.to.Q2.2015.","Contract.Remaining.Value..Q4.2014.to.Q3.2015.","Contract.Remaining.Value..Total."
"25","1-1V5E5L","EDGECOMPUTING","Web Experience","7/1/10 0:00","7/1/10 0:00","11/30/14 0:00","11/30/14 0:00","1-9NMP0","LexisNexis, a division of Reed Elsevier Inc.","LexisNexis, a division of Reed Elsevier Inc.","C","E","USA","Americas","Industry","Media","Media","Media","EdgeComputing","Web Experience Other","Web Experience Other","Web Experience BU","$24,200.00","$2,016.67",5,"$10,083.33","$10,083.33","$10,083.33"
"73","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","2/1/06 0:00","2/22/06 0:00","12/31/14 0:00","12/14/14 0:00","1-1C5S","HPES","HPES","B","E","USA","Americas","Channel Direct","Other","Reseller Accounts","Reseller Accounts","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$32,848.99","-$2,737.42",6,"-$16,424.50","-$16,424.50","-$16,424.50"
"110","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","7/1/05 0:00","7/1/05 0:00","4/30/15 0:00","4/30/15 0:00","1-2P77WZ","LoopNet, Inc.","LoopNet, Inc.","C","E","USA","Americas","Enterprise","Enterprise West","West","SoCal","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$281,178.80","$23,431.57",10,"$234,315.67","$234,315.67","$234,315.67"
"111","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","3/1/11 0:00","3/28/11 0:00","12/31/14 0:00","12/31/14 0:00","1-110HAH","Proquire L L C","AstraZeneca","B","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$132,060.00","$11,005.00",6,"$66,030.00","$66,030.00","$66,030.00"
"130","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/12 0:00","9/1/12 0:00","9/30/14 0:00","9/30/14 0:00","1-13K4T3F","Jive Software","SAP America, Inc.","E","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$35,856.61","$2,988.05",3,"$8,964.15","$0.00","$8,964.15"
"165","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/1/13 0:00","10/31/14 0:00","10/31/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","Nintendo of America Inc.","","E","USA","Americas","Enterprise","Enterprise West","Gaming","Gaming","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$712.35","$59.36",4,"$237.45","$0.00","$237.45"
"206","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/09 0:00","12/1/09 0:00","3/31/16 0:00","3/31/16 0:00","1-5K8P","Verizon Business","Tyco Electronics Corporation","E","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$177,077.51","$14,756.46",21,"$177,077.51","$177,077.51","$309,885.64"
"231","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/06 0:00","9/30/06 0:00","11/30/14 0:00","11/30/14 0:00","1-9NMP0","LexisNexis, a division of Reed Elsevier Inc.","LexisNexis, a division of Reed Elsevier Inc.","C","E","USA","Americas","Industry","Media","Media","Media","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$48,353.40","$4,029.45",5,"$20,147.25","$20,147.25","$20,147.25"
"288","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","1/1/13 0:00","1/1/13 0:00","12/31/14 0:00","12/31/14 0:00","1-13K4T3F","Jive Software","Cameron International Corp.","","E","USA","Americas","Enterprise","Enterprise West","West","Southwest","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$0.00","$0.00",6,"$0.00","$0.00","$0.00"
"315","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","7/1/07 0:00","7/21/07 0:00","5/31/16 0:00","5/31/16 0:00","1-UXVO8J","Manhattan Centerstone Software","Manhattan Centerstone Software","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$55,000.00","$4,583.33",23,"$55,000.00","$55,000.00","$105,416.67"
"335","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/11 0:00","12/1/11 0:00","7/31/14 0:00","7/31/14 0:00","15Q-8E09","TransHotel Servicios Corporativos S.L.U","TransHotel Servicios Corporativos S.L.U","C","E","Spain","EMEA","SER","Spain","Spain","Spain","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$17,908.79","$1,492.40",1,"$1,492.40","$0.00","$1,492.40"
"449","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/10 0:00","9/1/10 0:00","8/31/14 0:00","8/31/14 0:00","AANA-7XT3VB","AEC Group, Inc.","AEC Group, Inc.","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$29,521.97","-$2,460.16",2,"-$4,920.33","$0.00","-$4,920.33"
"473","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","5/1/09 0:00","5/1/09 0:00","4/30/16 0:00","4/30/16 0:00","AANA-XUH3E","Nuance Communications, Inc.","Nuance Communications, Inc.","D","E","USA","Americas","Industry","High Tech","High Tech","High Tech","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$105,574.05","$8,797.84",22,"$105,574.05","$105,574.05","$193,552.43"
"475","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/06 0:00","12/1/06 0:00","11/30/14 0:00","11/30/14 0:00","B-3-AFKF7V","ARTURAI ITALIA SRL","ARTURAI ITALIA SRL","","E","Italy","EMEA","SER","SER Channel","SER Channel","SER Channel","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$33,323.98","-$2,777.00",5,"-$13,884.99","-$13,884.99","-$13,884.99"
"484","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","2/1/13 0:00","2/1/13 0:00","2/28/15 0:00","2/28/15 0:00","1-13K4T3F","Jive Software","Instituto Colombiano de Beneficencia Familiar","","E","Colombia","Americas","Channel Direct","LATAM","VAR LATAM","VAR LATAM","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$0.00","$0.00",8,"$0.00","$0.00","$0.00"
"501","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/15/13 0:00","10/31/14 0:00","10/31/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","AT&T Connect","","E","USA","Americas","Foundation","Carrier Americas","Carrier Americas","Carrier Americas","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$9,800.00","$816.67",4,"$3,266.67","$0.00","$3,266.67"
"502","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/15/13 0:00","10/31/14 0:00","10/31/14 0:00","F-AC-1348291","AT&T Connect","AT&T Connect","","E","USA","Americas","Foundation","Carrier Americas","Carrier Americas","Carrier Americas","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$9,800.00","$816.67",4,"$3,266.67","$0.00","$3,266.67"
"522","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","3/1/11 0:00","3/1/11 0:00","11/30/14 0:00","11/30/14 0:00","F-AC-219100","ClinicalKey Elsevier Inc.","ClinicalKey Elsevier Inc.","","E","USA","Americas","Industry","Media","Media","Media","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$0.00","$0.00",5,"$0.00","$0.00","$0.00"
"528","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/10 0:00","11/15/10 0:00","11/30/14 0:00","11/30/14 0:00","F-AC-307999","MD Consult Elsevier, Inc.","MD Consult Elsevier, Inc.","","E","USA","Americas","Industry","Media","Media","Media","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$43,433.80","$3,619.48",5,"$18,097.42","$18,097.42","$18,097.42"
"535","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","7/1/11 0:00","7/15/11 0:00","8/31/14 0:00","8/13/14 0:00","F-AC-522611","RTL Belgium","RTL Belgium","","E","Belgium","EMEA","SEB","Benelux","Benelux","Benelux","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$474.45","$39.54",2,"$79.07","$0.00","$79.07"
"603","1-3TOYJH","IP APPLICATION ACCELERATOR","Emerging Products","5/1/12 0:00","5/1/12 0:00","12/31/14 0:00","12/31/14 0:00","1-5K8P","Verizon Business","Covidien","D","E","USA","Americas","Enterprise","Enterprise East","New England","New England","IP Access Accelerator","IPA/SXL","NW & Compute","Emerging Products BU","$64,260.90","$5,355.08",6,"$32,130.45","$32,130.45","$32,130.45"
"617","1-3TOYJH","IP APPLICATION ACCELERATOR","Emerging Products","9/1/13 0:00","9/1/13 0:00","8/31/15 0:00","8/31/15 0:00","F-AC-1256477","Citigroup Global Markets Inc - APAC","Citigroup Global Markets Inc - APAC","","E","USA","APJ","SOUTH ASIA","ASEAN","SINGAPORE","SINGAPORE","IP Access Accelerator","IPA/SXL","NW & Compute","Emerging Products BU","$91,459.50","$7,621.63",14,"$91,459.50","$106,702.75","$106,702.75"
"630","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","1/1/06 0:00","1/17/06 0:00","1/31/15 0:00","1/16/15 0:00","1-10FSSI","International Securities Exchange","International Securities Exchange","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$22,000.00","$1,833.33",7,"$12,833.33","$12,833.33","$12,833.33"
"635","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","11/1/02 0:00","11/15/02 0:00","1/31/15 0:00","1/14/15 0:00","1-131P5A","Addison Corporate Marketing Ltd t/a Addison Group","Addison Corporate Marketing Ltd t/a Addison Group","E","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$17,831.00","$1,485.92",7,"$10,401.42","$10,401.42","$10,401.42"
"668","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","7/1/08 0:00","7/1/08 0:00","6/30/15 0:00","6/30/15 0:00","1-1LH0VQ","Dolan Media Company","Dolan Media Company","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$7,700.00","$641.67",12,"$7,700.00","$7,700.00","$7,700.00"
"673","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","2/1/08 0:00","2/8/08 0:00","12/31/15 0:00","12/31/15 0:00","1-1OCA6","Atmel Corporation","Atmel Corporation","C","E","USA","Americas","Enterprise","Enterprise West","West","Bay","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$19,005.14","$1,583.76",18,"$19,005.14","$19,005.14","$28,507.70"
"688","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","12/1/06 0:00","12/15/06 0:00","12/31/14 0:00","12/14/14 0:00","1-2KUH1B","Dotster Inc.","Dotster Inc.","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$19,250.00","$1,604.17",6,"$9,625.00","$9,625.00","$9,625.00"
"691","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","3/1/11 0:00","3/28/11 0:00","10/31/14 0:00","10/15/14 0:00","1-110HAH","Proquire L L C","AstraZeneca","B","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$55,216.53","$4,601.38",4,"$18,405.51","$0.00","$18,405.51"
"698","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","8/1/07 0:00","8/28/07 0:00","8/31/14 0:00","8/27/14 0:00","1-34Z44L","Cache Matrix","Cache Matrix","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$8,250.00","$687.50",2,"$1,375.00","$0.00","$1,375.00"
"728","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","8/1/05 0:00","8/15/05 0:00","7/31/14 0:00","7/31/14 0:00","1-3WOM5P","Sunbeam Products, Inc","Sunbeam Products, Inc","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$11,000.00","$916.67",1,"$916.67","$0.00","$916.67"
"799","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","9/1/06 0:00","9/30/06 0:00","11/30/14 0:00","11/30/14 0:00","1-9NMP0","LexisNexis, a division of Reed Elsevier Inc.","LexisNexis, a division of Reed Elsevier Inc.","C","E","USA","Americas","Industry","Media","Media","Media","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$16,500.00","$1,375.00",5,"$6,875.00","$6,875.00","$6,875.00"
"898","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","5/1/12 0:00","5/15/12 0:00","10/31/14 0:00","10/31/14 0:00","15Q-ACRH","UBISOFT International SAS","UBISOFT International SAS","","E","France","Americas","Enterprise","Enterprise West","Gaming","Gaming","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$20,964.43","$1,747.04",4,"$6,988.14","$0.00","$6,988.14"
"923","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","5/1/12 0:00","5/1/12 0:00","12/31/14 0:00","12/31/14 0:00","1-5K8P","Verizon Business","Covidien","D","E","USA","Americas","Enterprise","Enterprise East","New England","New England","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$39,600.00","$3,300.00",6,"$19,800.00","$19,800.00","$19,800.00"
"934","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","6/1/13 0:00","6/1/13 0:00","5/31/15 0:00","5/31/15 0:00","AANA-2HR1WI","Amyris, Inc","Amyris, Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$11,000.00","$916.67",11,"$10,083.33","$10,083.33","$10,083.33"
"942","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","5/1/12 0:00","5/1/12 0:00","10/31/14 0:00","10/31/14 0:00","AANA-2SU5LH","Thrillist","Thrillist","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$0.00","$0.00",4,"$0.00","$0.00","$0.00"
"953","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","4/1/09 0:00","4/15/09 0:00","3/31/16 0:00","3/31/16 0:00","AANA-3UZ9U0","iMesh Inc.","iMesh Inc.","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$15,750.00","$1,312.50",21,"$15,750.00","$15,750.00","$27,562.50"
"974","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","12/1/13 0:00","12/1/13 0:00","7/31/17 0:00","7/31/17 0:00","1-887X","IBM Global Services","ZeroChaos","","E","USA","Americas","Enterprise","Enterprise East","Southeast","Southeast","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$11,250.00","$937.50",37,"$11,250.00","$11,250.00","$34,687.50"
"1012","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","4/1/12 0:00","4/1/12 0:00","11/30/14 0:00","11/30/14 0:00","B-C-C8KEVD","ITWay Solutions Ltd","ITWay Solutions Ltd","","E","Italy","EMEA","SEB","Emerging","Israel","Israel","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$1,497.00","$124.75",5,"$623.75","$623.75","$623.75"
"1013","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","4/1/13 0:00","4/1/13 0:00","3/31/15 0:00","3/31/15 0:00","B-C-COEBRJ","WAMNET","WAMNET","","E","Japan","APJ","JAPAN","JAPAN","JP INSTALL BASE","ECG JAPAN","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$5,628.69","$469.06",9,"$4,221.52","$4,221.52","$4,221.52"
"1026","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","4/1/11 0:00","4/21/11 0:00","5/31/15 0:00","5/20/15 0:00","F-AC-117418","Voltage Security","Voltage Security","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$18,700.00","$1,558.33",11,"$17,141.67","$17,141.67","$17,141.67"
"1029","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","10/1/13 0:00","10/15/13 0:00","4/30/15 0:00","4/14/15 0:00","F-AC-1242059","Life Care Services.","Life Care Services.","","E","USA","Americas","Enterprise","Enterprise West","Midwest","Midwest","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$9,058.06","$754.84",10,"$7,548.38","$7,548.38","$7,548.38"
"1044","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","4/1/14 0:00","4/1/14 0:00","3/31/16 0:00","3/31/16 0:00","F-AC-1375037","ALS Limited","ALS Limited","","E","Australia","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$2,599.94","$216.66",21,"$2,599.94","$2,599.94","$4,549.90"
"1051","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","1/1/12 0:00","1/1/12 0:00","12/31/14 0:00","12/31/14 0:00","B-3-Y9B04J","Milloh CS NER","Emediate","","E","Sweden","EMEA","SEB","Nordics","ESS Nordics","ESS Nordics","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$829.53","$69.13",6,"$414.77","$414.77","$414.77"
"1055","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","3/1/11 0:00","3/1/11 0:00","11/30/14 0:00","11/30/14 0:00","F-AC-219100","ClinicalKey Elsevier Inc.","ClinicalKey Elsevier Inc.","","E","USA","Americas","Industry","Media","Media","Media","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$82,250.00","$6,854.17",5,"$34,270.83","$34,270.83","$34,270.83"
"1060","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","2/1/14 0:00","2/1/14 0:00","1/31/16 0:00","1/31/16 0:00","B-3-VH6I0N","AT&T Services, Inc.","NCP Solutions","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$4,000.00","$333.33",19,"$4,000.00","$4,000.00","$6,333.33"
"1065","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","5/1/05 0:00","5/1/05 0:00","4/30/15 0:00","4/30/15 0:00","F-AC-464907","HP Enterprise Services UK Ltd","HP Enterprise Services UK Ltd","","E","United Kingdom","EMEA","UKI","UKI Channel","UKI Channel","UKI Channel","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","-$12,213.06","-$1,017.76",10,"-$10,177.55","-$10,177.55","-$10,177.55"
"1067","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","6/1/11 0:00","6/1/11 0:00","11/30/14 0:00","11/30/14 0:00","F-AC-511764","AD DYNAMO UK LIMITED","AD DYNAMO UK LIMITED","","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$6,240.85","$520.07",5,"$2,600.35","$2,600.35","$2,600.35"
"1070","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","1/1/12 0:00","1/1/12 0:00","12/31/14 0:00","12/31/14 0:00","B-3-Y9B04J","Milloh CS NER","SunHotels Ltd.","","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$459.51","$38.29",6,"$229.75","$229.75","$229.75"
"1075","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","11/1/11 0:00","11/23/11 0:00","3/31/15 0:00","3/14/15 0:00","F-AC-685837","Organizing for Action","Organizing for Action","","E","USA","Americas","Enterprise","Public Sector","Civilian","Civilian","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$22,000.03","$1,833.34",9,"$16,500.02","$16,500.02","$16,500.02"
"1092","1-C36TR","GLOBAL TRAFFIC MANAGEMENT","Web Experience","1/1/11 0:00","1/1/11 0:00","12/31/14 0:00","12/31/14 0:00","VC-K09A","RentPath, Inc.","RentPath, Inc.","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Global Traffic Management","Beyond Performance - GTM","Beyond Performance","Web Experience BU","$5,500.00","$458.33",6,"$2,750.00","$2,750.00","$2,750.00"
"1107","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","10/1/07 0:00","10/1/07 0:00","11/30/14 0:00","11/30/14 0:00","1-10RF6VI","Stream UK Media Services Ltd.","Stream UK Media Services Ltd.","C","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$573.10","$47.76",5,"$238.79","$238.79","$238.79"
"1109","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","6/1/07 0:00","6/1/07 0:00","6/30/15 0:00","6/30/15 0:00","1-11ROP6V","International Finance Corporation","International Finance Corporation","E","E","USA","Americas","Enterprise","Public Sector","Civilian","Civilian","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","-$129.80","-$10.82",12,"-$129.80","-$129.80","-$129.80"
"1112","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","8/1/01 0:00","8/14/01 0:00","12/31/14 0:00","12/31/14 0:00","1-12IVE","Sybase, Inc.","Sybase, Inc.","C","E","USA","EMEA","CER","DEA Enterprise","DEA Enterprise","DEA Enterprise","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$4,663.22","$388.60",6,"$2,331.61","$2,331.61","$2,331.61"
"1113","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","12/1/07 0:00","12/1/07 0:00","10/31/14 0:00","10/31/14 0:00","1-5K8P","Verizon Business","Wellington Management Co","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$1,286.24","$107.19",4,"$428.75","$0.00","$428.75"
"1122","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","4/1/08 0:00","4/1/08 0:00","3/31/15 0:00","3/31/15 0:00","1-1CN06T","EventStreams","EventStreams","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$334.36","$27.86",9,"$250.77","$250.77","$250.77"
"1128","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","11/1/02 0:00","11/1/02 0:00","12/31/15 0:00","12/31/15 0:00","1-1MNPB9","CDN Solutions","Kawai-juku","E","E","Japan","APJ","JAPAN","JAPAN","JP INSTALL BASE","ECG JAPAN","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$419.48","$34.96",18,"$419.48","$419.48","$629.22"
"1135","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","9/1/00 0:00","9/13/00 0:00","7/31/15 0:00","7/31/15 0:00","1-1Q61Z","TV House.com, Inc.","TV House.com, Inc.","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$413.60","$34.47",13,"$413.60","$448.07","$448.07"
"1138","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","8/1/05 0:00","8/1/05 0:00","7/31/15 0:00","7/31/15 0:00","1-1XSI1","InterMedia Inc.","InterMedia Inc.","D","E","USA","Americas","Enterprise","Enterprise West","Bay/Pacific NW","Bay/Pacific NW","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$1,141.21","$95.10",13,"$1,141.21","$1,236.31","$1,236.31"
"1141","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","2/1/09 0:00","2/1/09 0:00","1/31/15 0:00","1/31/15 0:00","1-22AEV","Plantronics Inc","Plantronics Inc","E","E","USA","Americas","Enterprise","Enterprise West","West","Bay","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$1,950.69","$162.56",7,"$1,137.90","$1,137.90","$1,137.90"
"1143","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","4/1/04 0:00","4/15/04 0:00","4/30/15 0:00","4/14/15 0:00","1-28T2SU","Skyworks Solutions Inc.","Skyworks Solutions Inc.","E","E","USA","Americas","Enterprise","Emerging North America","Inside Sales","Inside Sales East","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$700.07","$58.34",10,"$583.39","$583.39","$583.39"
"1147","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","7/1/04 0:00","7/14/04 0:00","4/30/15 0:00","4/12/15 0:00","1-2M7P5C","Atos International SAS","Atos International SAS","E","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$892.31","$74.36",10,"$743.59","$743.59","$743.59"
"1151","B-2-7Y4UY","DOWNLOADS-LEGACY","Media","8/1/05 0:00","8/1/05 0:00","5/31/15 0:00","5/1/15 0:00","1-2R4M3N","JD Williams & Co Ltd t/a Figleaves","JD Williams & Co Ltd t/a Figleaves","D","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","Downloads-Legacy","Software Delivery Group","Media Delivery","Media BU","$1,564.11","$130.34",11,"$1,433.77","$1,433.77","$1,433.77"
